state,avg_cost_ha_2013,avg_cost_stroke_2013,avg_cost_stroke_2018,avg_cost_ha_2018
ALABAMA,10892,2772,3095,10042
ALASKA,23017,6008,6837,18959
ARIZONA,14488,3133,3606,14634
ARKANSAS,11700,3012,3573,12566
CALIFORNIA,17430,4140,4972,17680
COLORADO,13561,3184,4142,15262
CONNECTICUT,14988,4691,4858,15675
DELAWARE,13837,3286,3829,15423
DISTRICT OF COLUMBIA,16455,4563,4200,14279
FLORIDA,11573,2771,3096,12455
GEORGIA,12385,3192,3744,13396
HAWAII,13670,3019,4156,15749
IDAHO,13136,4030,4709,12482
ILLINOIS,12797,3515,4057,13524
INDIANA,12137,3204,3868,12889
IOWA,11692,3804,4227,13251
KANSAS,10819,3481,4085,10264
KENTUCKY,12315,3699,4429,12479
LOUISIANA,11882,2922,3779,12215
MAINE,13174,3570,4494,11459
MARYLAND,16054,4444,4689,15293
MASSACHUSETTS,16813,4039,4355,14807
MICHIGAN,13377,3546,4069,12917
MINNESOTA,13564,4278,5050,15327
MISSISSIPPI,12638,3523,3881,13916
MISSOURI,12198,3440,3995,12069
MONTANA,13245,3651,4512,15843
NEBRASKA,12995,3881,4225,13988
NEVADA,13932,3145,3496,15313
NEW HAMPSHIRE,13700,3711,4318,14125
NEW JERSEY,14796,3869,4019,17047
NEW MEXICO,14134,3257,4021,14372
NEW YORK,16488,4236,4500,16479
NORTH CAROLINA,13158,3507,3884,14355
NORTH DAKOTA,13061,4205,4658,11828
OHIO,12777,3575,4123,12806
OKLAHOMA,12161,3377,3695,12236
OREGON,13653,4121,5309,13756
PENNSYLVANIA,12315,3477,3637,12727
RHODE ISLAND,11132,3916,4272,9352
SOUTH CAROLINA,12484,3228,3619,14453
SOUTH DAKOTA,13286,3566,4947,15553
TENNESSEE,11348,3181,3596,11840
TEXAS,13280,3397,3840,13806
UTAH,14000,3260,3825,15797
VERMONT,16891,5242,4542,14650
VIRGINIA,13145,3478,3868,13194
WASHINGTON,14003,4232,4979,14997
WEST VIRGINIA,13770,3294,3738,13775
WISCONSIN,13416,3799,4389,13878
WYOMING,15868,4367,5919,18266
GUAM,5572,2543,7266,12853
PUERTO RICO,6886,1335,2249,10271
VIRGIN ISLANDS,8702,4667,5940,18037
