State,State Spending,Local Spending,State and Local Spending,Gross State Product,Real State Growth %,Population (million)
Alabama,9338,4187,13525,221736,2.8,4.9
Alaska,2369,496,2865,54734,0.7,0.7
Arizona,12202,1008,13209,348297,4.1,7.2
Arkansas,7610,297,7907,128419,1.7,3
California,123023,39815,162838,2997730,4.3,39.5
Colorado,9688,2146,11834,371750,3.5,5.7
Connecticut,4980,151,5131,275727,0.5,3.6
Delaware,2909,40,2949,73481,0,1
District of Columbia,0,3119,3119,140661,2.5,0.7
Florida,31168,10499,41667,1039240,3.2,21.2
Georgia,13649,5112,18761,592153,2.4,10.5
Hawaii,3520,39,3559,93798,2.4,1.4
Idaho,2502,804,3306,77052,4,1.8
Illinois,21793,3221,25013,865310,2.1,12.7
Indiana,13200,4790,17990,366800,2,6.7
Iowa,7767,2311,10077,189702,2.2,3.1
Kansas,6577,1177,7754,168318,2.1,2.9
Kentucky,13140,1108,14248,208088,1.4,4.5
Louisiana,12185,2737,14922,257288,2.6,4.7
Maine,2699,158,2857,64856,2.2,1.3
Maryland,12405,589,12994,412584,2.5,6
Massachusetts,23746,1077,24822,569488,3.1,6.9
Michigan,19311,3718,23029,527096,2.5,10
Minnesota,14343,2875,17218,368852,2.6,5.6
Mississippi,7621,2648,10268,114834,1.3,3
Missouri,13674,2358,16032,318921,2.4,6.1
Montana,2343,251,2594,50327,2.6,1.1
Nebraska,2477,756,3233,123978,0.9,1.9
Nevada,4011,1055,5065,169310,4.2,3
New Hampshire,2030,25,2055,84464,2.3,1.4
New Jersey,19769,703,20472,622003,2.2,8.9
New Mexico,7335,344,7679,100297,2.5,2.1
New York,71941,16193,88133,1668870,1.2,19.5
North Carolina,16786,11541,28327,563690,2.4,10.4
North Dakota,1411,70,1481,56082,3.6,0.8
Ohio,29660,3857,33517,675905,1.9,11.7
Oklahoma,6631,1308,7939,202554,2.6,3.9
Oregon,10067,1367,11434,239783,3.8,4.2
Pennsylvania,31588,4101,35689,783168,2.6,12.8
Rhode Island,3153,20,3173,60588,1.2,1.1
South Carolina,10275,5169,15444,233930,2.6,5.1
South Dakota,999,143,1142,52015,1.9,0.9
Tennessee,11118,4161,15279,364105,3.1,6.8
Texas,43925,15506,59431,1802510,4,28.6
All states combined,724840,173350,898190,20580200,2.9,326.7
Utah,5512,807,6319,178138,3.7,3.2
Vermont,1527,10,1536,33256,1.2,0.6
Virginia,16594,1693,18287,532892,2.6,8.5
Washington,16549,5001,21550,565831,5.8,7.5
West Virginia,4274,378,4651,77438,2.3,1.8
Wisconsin,12390,1180,13571,336294,2.4,5.8
Wyoming,1060,1237,2297,39119,0.1,0.6
